,Cena,Oferta od,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ nadwozia,Kolor,Stan
0,75900,Osoby prywatnej,2012,163000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
1,133800,Firmy,2018,169800,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
2,288888,Firmy,2021,100,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Niebieski,Nowe
3,119000,Osoby prywatnej,2018,162000,1984,Benzyna,252,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
4,17900,Osoby prywatnej,2005,232000,2698,Diesel,180,Manualna,Na przednie koła,Kombi,Szary,Używane
5,76200,Firmy,2014,175648,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
6,27000,Osoby prywatnej,2008,211328,1968,Diesel,170,Automatyczna,Na przednie koła,Sedan,Inny kolor,Używane
7,254650,Firmy,2021,23406,1984,Benzyna,265,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
8,139900,Firmy,2017,135012,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
9,154900,Firmy,2016,142900,2967,Diesel,326,Automatyczna,4x4 (stały),Kombi,Czerwony,Używane
10,220293,Firmy,2018,109900,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
11,99900,Firmy,2014,189000,2967,Diesel,204,Automatyczna,4x4 (stały),Kombi,Szary,Używane
12,194217,Firmy,2018,147000,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
13,210000,Firmy,2020,14692,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
14,109900,Firmy,2018,169000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Srebrny,Używane
15,34900,Osoby prywatnej,2007,231000,2967,Diesel,233,Manualna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
16,335435,Firmy,2021,10,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Czarny,Nowe
17,234900,Firmy,2021,23203,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Niebieski,Używane
18,239900,Firmy,2021,19327,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Kombi,Niebieski,Używane
19,25000,Osoby prywatnej,2005,250000,3123,Benzyna,255,Manualna,Na przednie koła,Sedan,Szary,Używane
20,27900,Osoby prywatnej,2006,339879,2967,Diesel,224,Automatyczna,4x4 (dołączany automatycznie),Kombi,Zielony,Używane
21,240000,Firmy,2020,14395,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Szary,Używane
22,231900,Firmy,2021,28818,1984,Benzyna,265,Automatyczna,4x4 (stały),Sedan,Niebieski,Używane
23,229900,Firmy,2021,26280,1984,Benzyna,265,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
24,209000,Osoby prywatnej,2019,14000,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Szary,Używane
25,304900,Firmy,2021,23132,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Niebieski,Używane
26,17600,Osoby prywatnej,2003,110000,2486,Diesel,180,Manualna,4x4 (dołączany automatycznie),Sedan,Srebrny,Używane
27,82000,Osoby prywatnej,2012,198150,2995,Benzyna,300,Automatyczna,4x4 (stały),Sedan,Srebrny,Używane
28,56700,Osoby prywatnej,2012,170098,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
29,68700,Osoby prywatnej,2012,182800,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Szary,Używane
30,37900,Firmy,2006,289760,4163,Benzyna,350,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
31,115000,Osoby prywatnej,2016,167000,1968,Diesel,190,Automatyczna,4x4 (stały),Kombi,Szary,Używane
32,91000,Osoby prywatnej,2015,76000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
33,183000,Osoby prywatnej,2019,39000,1984,Benzyna,245,Automatyczna,4x4 (stały),Sedan,Inny kolor,Używane
34,55900,Osoby prywatnej,2012,329000,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
35,140000,Osoby prywatnej,2018,24632,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Biały,Używane
36,25900,Osoby prywatnej,2005,260454,1984,Benzyna,170,Manualna,Na przednie koła,Kombi,Niebieski,Używane
37,25500,Osoby prywatnej,2008,292800,2967,Diesel,233,Automatyczna,4x4 (stały),Kombi,Srebrny,Używane
38,86000,Firmy,2012,89911,2995,Benzyna,310,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
39,105000,Osoby prywatnej,2015,99000,2967,Diesel,272,Automatyczna,4x4 (stały),Sedan,Srebrny,Używane
40,134900,Firmy,2017,109686,1698,Diesel,150,Automatyczna,Na przednie koła,Kombi,Szary,Używane
41,159900,Firmy,2017,199100,2967,Diesel,272,Automatyczna,4x4 (stały),Sedan,Niebieski,Używane
42,60800,Osoby prywatnej,2012,259969,1968,Diesel,177,Manualna,Na przednie koła,Sedan,Szary,Używane
43,325000,Firmy,2020,17000,1984,Hybryda,299,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
44,284600,Firmy,2021,8500,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Szary,Używane
45,29700,Firmy,2007,250000,2400,Benzyna,177,Manualna,4x4 (stały),Kombi,Szary,Używane
46,52900,Osoby prywatnej,2011,254887,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Szary,Używane
47,298400,Firmy,2022,4000,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Nowe
48,39999,Osoby prywatnej,2010,183305,1968,Diesel,170,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
49,70000,Osoby prywatnej,2014,189500,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Inny kolor,Używane
50,23900,Osoby prywatnej,2008,272000,2393,Benzyna,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
51,279900,Firmy,2021,16104,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
52,324900,Firmy,2021,27854,2967,Diesel,245,Automatyczna,4x4 (stały),Kombi,Biały,Używane
53,259900,Firmy,2020,16503,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Srebrny,Używane
54,82900,Osoby prywatnej,2014,144000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Szary,Używane
55,259900,Firmy,2018,121500,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
56,285000,Osoby prywatnej,2019,52004,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Niebieski,Używane
57,294400,Firmy,2021,1,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Szary,Nowe
58,292000,Firmy,2021,10100,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Niebieski,Używane
59,349800,Firmy,2022,1,1984,Benzyna,265,Automatyczna,4x4 (stały),Kombi,Niebieski,Nowe
60,317300,Firmy,2021,1,1984,Benzyna,265,Automatyczna,4x4 (stały),Sedan,Szary,Nowe
61,257800,Firmy,2022,1,1968,Diesel,163,Automatyczna,Na przednie koła,Kombi,Czarny,Nowe
62,9900,Osoby prywatnej,2003,358000,1781,Benzyna+LPG,149,Manualna,Na przednie koła,Kombi,Srebrny,Używane
63,274900,Firmy,2021,5,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Biały,Nowe
64,54900,Osoby prywatnej,2011,265000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
65,254900,Firmy,2018,89965,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Biały,Używane
66,82900,Osoby prywatnej,2018,94000,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Szary,Używane
67,315000,Firmy,2020,34091,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Szary,Używane
68,82900,Firmy,2014,144885,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Szary,Używane
69,59900,Osoby prywatnej,2012,365886,2967,Diesel,245,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
70,366036,Firmy,2022,10,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Kombi,Niebieski,Nowe
71,89000,Osoby prywatnej,2012,206000,2967,Diesel,313,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
72,19900,Osoby prywatnej,2005,349200,2393,Benzyna+LPG,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
73,135900,Firmy,2014,149000,2967,Diesel,320,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
74,119900,Firmy,2017,159000,2967,Diesel,218,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
75,179900,Firmy,2019,76839,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
76,39900,Osoby prywatnej,2009,385000,2967,Diesel,240,Automatyczna,4x4 (stały),Sedan,Beżowy,Używane
77,299600,Firmy,2021,2000,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Nowe
78,67900,Osoby prywatnej,2012,271000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Niebieski,Używane
79,5500,Osoby prywatnej,1998,300200,2398,Benzyna,165,Manualna,Na przednie koła,Sedan,Srebrny,Używane
80,199900,Firmy,2020,19293,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
81,185900,Firmy,2020,25758,1968,Diesel,163,Automatyczna,Na przednie koła,Kombi,Szary,Używane
82,437700,Firmy,2022,1,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Szary,Nowe
83,84500,Osoby prywatnej,2012,254000,2967,Diesel,245,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
84,399800,Firmy,2021,14374,2995,Benzyna,340,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czerwony,Używane
85,299900,Firmy,2020,44080,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
86,75900,Osoby prywatnej,2014,175000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
87,277900,Firmy,2020,19085,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Srebrny,Używane
88,209900,Firmy,2020,23053,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Szary,Używane
89,94900,Osoby prywatnej,2018,98000,1968,Diesel,150,Manualna,Na przednie koła,Kombi,Niebieski,Używane
90,39900,Osoby prywatnej,2010,237000,1968,Diesel,170,Manualna,Na przednie koła,Kombi,Srebrny,Używane
91,27900,Osoby prywatnej,2004,244000,2967,Diesel,224,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
92,149999,Osoby prywatnej,2018,58200,1968,Diesel,190,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
93,93000,Osoby prywatnej,2015,192000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Inny kolor,Używane
94,49900,Osoby prywatnej,2012,180000,1984,Benzyna,180,Manualna,Na przednie koła,Sedan,Srebrny,Używane
95,24999,Firmy,2004,286000,2698,Diesel,180,Manualna,Na przednie koła,Sedan,Srebrny,Używane
96,134900,Osoby prywatnej,2018,73662,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
97,119000,Firmy,2016,170000,2967,Diesel,272,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
98,58000,Osoby prywatnej,2013,260000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Szary,Używane
99,277900,Firmy,2022,1,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Biały,Nowe
100,20500,Osoby prywatnej,2006,390000,1968,Diesel,140,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
101,249000,Osoby prywatnej,2021,12000,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Szary,Używane
102,388400,Firmy,2022,1,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Nowe
103,180000,Osoby prywatnej,2016,168300,2967,Diesel,326,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
104,68700,Firmy,2014,176568,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
105,58500,Osoby prywatnej,2013,278987,1968,Diesel,177,Manualna,Na przednie koła,Sedan,Czarny,Używane
106,29900,Osoby prywatnej,2011,229000,1984,Benzyna,170,Manualna,Na przednie koła,Kombi,Srebrny,Używane
107,476800,Firmy,2022,1,2967,Diesel,344,Automatyczna,4x4 (stały),Kombi,Niebieski,Nowe
108,18900,Osoby prywatnej,2005,194587,2393,Benzyna,177,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
109,63900,Osoby prywatnej,2013,108500,1984,Benzyna,180,Automatyczna,Na przednie koła,Sedan,Biały,Używane
110,111181,Osoby prywatnej,2019,64500,1984,Benzyna,245,Automatyczna,4x4 (stały),Kombi,Szary,Używane
111,89000,Osoby prywatnej,2013,114000,2967,Diesel,313,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
112,299900,Firmy,2021,27639,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
113,294900,Firmy,2021,28344,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
114,289900,Firmy,2021,7364,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Srebrny,Używane
115,259900,Firmy,2021,16165,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Szary,Używane
116,65900,Firmy,2012,131000,1968,Diesel,170,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
117,40500,Osoby prywatnej,2008,275000,2995,Benzyna,290,Automatyczna,4x4 (stały),Kombi,Szary,Używane
118,94000,Osoby prywatnej,2014,256000,2967,Diesel,313,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
119,84500,Osoby prywatnej,2014,200000,2967,Diesel,313,Automatyczna,4x4 (stały),Kombi,Srebrny,Używane
120,89900,Osoby prywatnej,2015,191000,1968,Diesel,150,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
121,99999,Firmy,2018,178000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Biały,Używane
122,108500,Osoby prywatnej,2015,127000,2967,Diesel,245,Automatyczna,4x4 (dołączany automatycznie),Sedan,Niebieski,Używane
123,25900,Osoby prywatnej,2004,295000,2967,Diesel,224,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
124,45900,Osoby prywatnej,2010,248389,1968,Diesel,170,Manualna,Na przednie koła,Kombi,Czarny,Używane
125,169000,Osoby prywatnej,2018,99000,1984,Benzyna,252,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
126,111000,Osoby prywatnej,2017,97855,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
127,27500,Osoby prywatnej,2000,206011,4163,Benzyna,334,Automatyczna,4x4 (stały),Sedan,Niebieski,Używane
128,22000,Osoby prywatnej,2007,282000,1984,Benzyna,170,Automatyczna,Na przednie koła,Kombi,Szary,Używane
129,105000,Osoby prywatnej,2016,88000,1984,Benzyna,252,Automatyczna,Na przednie koła,Sedan,Srebrny,Używane
130,21500,Osoby prywatnej,2004,375000,1968,Diesel,140,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
131,125000,Osoby prywatnej,2016,149552,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
132,53900,Osoby prywatnej,2013,199850,1968,Diesel,136,Manualna,Na przednie koła,Kombi,Brązowy,Używane
133,86900,Firmy,2015,138236,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Szary,Używane
134,109000,Osoby prywatnej,2015,173000,1968,Diesel,190,Automatyczna,4x4 (stały),Kombi,Srebrny,Używane
135,19000,Osoby prywatnej,2005,510000,2393,Benzyna,177,Manualna,Na przednie koła,Sedan,Czarny,Używane
136,315600,Firmy,2022,1,1984,Benzyna,265,Automatyczna,4x4 (stały),Sedan,Czarny,Nowe
137,674500,Firmy,2022,1,3996,Benzyna,600,Automatyczna,4x4 (stały),Kombi,Szary,Nowe
138,69999,Firmy,2013,173760,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
139,324900,Firmy,2021,24474,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
140,304900,Firmy,2021,27672,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
141,222900,Firmy,2020,24412,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Szary,Używane
142,90000,Osoby prywatnej,2014,152800,2967,Diesel,204,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
143,142000,Osoby prywatnej,2018,68750,1968,Diesel,190,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
144,33950,Osoby prywatnej,2008,270000,3123,Benzyna,255,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
145,153000,Osoby prywatnej,2018,119000,1968,Diesel,190,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
146,25700,Firmy,2004,299000,3200,Benzyna,256,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
147,248800,Firmy,2019,89000,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
148,269900,Firmy,2021,24032,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Kombi,Biały,Używane
149,259900,Firmy,2020,17596,1984,Hybryda,299,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
150,269700,Firmy,2022,1,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Czarny,Nowe
151,269900,Firmy,2021,10804,2967,Diesel,245,Automatyczna,4x4 (stały),Kombi,Biały,Używane
152,288999,Osoby prywatnej,2021,23000,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Szary,Używane
153,34900,Osoby prywatnej,2007,189000,2393,Benzyna+LPG,177,Automatyczna,Na przednie koła,Sedan,Szary,Używane
154,65000,Firmy,2013,190050,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
155,62500,Osoby prywatnej,2012,224700,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Biały,Używane
156,135000,Osoby prywatnej,2016,115500,2967,Diesel,272,Automatyczna,4x4 (stały),Kombi,Biały,Używane
157,107900,Osoby prywatnej,2016,169000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Brązowy,Używane
158,172815,Osoby prywatnej,2018,189000,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
159,183800,Firmy,2019,138000,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
160,47000,Osoby prywatnej,2010,104538,1984,Benzyna,170,Automatyczna,Na przednie koła,Sedan,Inny kolor,Używane
161,334900,Firmy,2021,5796,2995,Benzyna,340,Automatyczna,4x4 (dołączany automatycznie),Sedan,Niebieski,Używane
162,64800,Osoby prywatnej,2014,247321,2967,Diesel,245,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
163,167700,Osoby prywatnej,2018,167600,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Biały,Używane
164,14700,Osoby prywatnej,2004,338702,1968,Diesel,140,Manualna,Na przednie koła,Kombi,Szary,Używane
165,224900,Firmy,2020,58266,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Szary,Używane
166,97000,Osoby prywatnej,2016,151000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
167,319900,Firmy,2020,23391,2967,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Sedan,Biały,Używane
168,22700,Firmy,2004,299000,2400,Benzyna,177,Manualna,Na przednie koła,Sedan,Niebieski,Używane
169,23700,Firmy,2005,299000,2400,Benzyna,177,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
170,29700,Firmy,2005,220000,2400,Benzyna,177,Manualna,4x4 (stały),Kombi,Czarny,Używane
171,284990,Firmy,2018,68000,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Szary,Używane
172,245000,Firmy,2018,108500,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
173,109000,Osoby prywatnej,2018,195000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
174,99500,Osoby prywatnej,2015,179000,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
175,284900,Firmy,2019,68000,2995,Benzyna,340,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
176,279900,Firmy,2020,31500,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Niebieski,Używane
177,23700,Firmy,2004,270000,3200,Benzyna,256,Manualna,Na przednie koła,Sedan,Czarny,Używane
178,299900,Firmy,2020,3674,1984,Benzyna,299,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
179,67900,Osoby prywatnej,2012,237000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
180,269900,Firmy,2021,17777,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
181,224900,Firmy,2020,20326,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Niebieski,Używane
182,222900,Firmy,2020,26377,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Niebieski,Używane
183,99899,Osoby prywatnej,2016,187000,1968,Diesel,190,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
184,8900,Osoby prywatnej,1999,230000,2396,Benzyna,160,Manualna,Na przednie koła,Kombi,Zielony,Używane
185,187500,Firmy,2018,40800,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
186,25500,Osoby prywatnej,2008,320000,1968,Diesel,140,Manualna,Na przednie koła,Sedan,Czarny,Używane
187,199900,Firmy,2019,99000,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Inny kolor,Używane
188,79900,Osoby prywatnej,2013,290000,2967,Diesel,313,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
189,25700,Firmy,2004,190000,3200,Benzyna,256,Automatyczna,4x4 (stały),Sedan,Inny kolor,Używane
190,199900,Firmy,2019,159000,1968,Diesel,204,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
191,32700,Firmy,2007,220000,2400,Benzyna,177,Manualna,4x4 (stały),Sedan,Szary,Używane
192,99900,Osoby prywatnej,2018,158200,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Inny kolor,Używane
193,19900,Osoby prywatnej,2005,275500,2393,Benzyna,177,Manualna,Na przednie koła,Sedan,Czarny,Używane
194,22400,Firmy,2006,182000,1984,Benzyna,170,Manualna,Na przednie koła,Kombi,Czarny,Używane
195,299900,Firmy,2021,22609,2967,Diesel,245,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
196,332300,Firmy,2022,1,1984,Benzyna,265,Automatyczna,4x4 (stały),Kombi,Niebieski,Nowe
197,329400,Firmy,2022,1,1984,Benzyna,265,Automatyczna,4x4 (stały),Kombi,Szary,Nowe
198,232900,Firmy,2021,29477,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
199,118000,Osoby prywatnej,2015,197000,2967,Diesel,320,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
200,69900,Osoby prywatnej,2012,280000,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Srebrny,Używane
201,21000,Osoby prywatnej,2007,395735,2393,Benzyna,177,Manualna,Na przednie koła,Kombi,Niebieski,Używane
202,207624,Firmy,2019,160000,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
203,192900,Osoby prywatnej,2019,150900,2967,Diesel,231,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
204,21900,Osoby prywatnej,2006,345000,1968,Diesel,140,Manualna,Na przednie koła,Kombi,Szary,Używane
205,105900,Firmy,2014,184763,2967,Diesel,245,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
206,44700,Firmy,2011,320000,2700,Diesel,240,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
207,204900,Firmy,2019,135000,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Biały,Używane
208,294500,Firmy,2021,30714,2967,Diesel,286,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
209,87500,Osoby prywatnej,2013,142500,2967,Diesel,313,Automatyczna,4x4 (dołączany automatycznie),Kombi,Brązowy,Używane
210,152800,Osoby prywatnej,2016,99000,2967,Diesel,326,Automatyczna,4x4 (stały),Sedan,Szary,Używane
211,132800,Firmy,2018,153000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Szary,Używane
212,112000,Osoby prywatnej,2018,47511,1984,Benzyna,252,Automatyczna,Na przednie koła,Sedan,Biały,Używane
213,122900,Osoby prywatnej,2018,117802,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Inny kolor,Używane
214,19999,Osoby prywatnej,2003,335200,1781,Benzyna,150,Manualna,4x4 (stały),Kombi,Czarny,Używane
215,64900,Osoby prywatnej,2012,299000,2967,Diesel,245,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
216,238500,Osoby prywatnej,2021,10000,1984,Benzyna,265,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
217,15999,Osoby prywatnej,2000,322000,2500,Diesel,180,Automatyczna,4x4 (dołączany automatycznie),Sedan,Inny kolor,Używane
218,91900,Osoby prywatnej,2015,241470,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
219,122900,Osoby prywatnej,2017,163000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Szary,Używane
220,56900,Osoby prywatnej,2012,198000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Biały,Używane
